Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-23,138394,2345,16251,8516,59,0.69,3,46131,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-02,112093,862,4335,25857,130,0.5,1,112093,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-03,134247,1743,7994,16792,77,0.46,1,134247,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-04,81896,1904,7716,10613,43,0.41,1,81896,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-05,107124,2895,10555,10149,37,0.36,1,107124,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-06,106193,1966,8386,12662,54,0.43,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-07,93939,2472,8628,10887,38,0.35,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-08,101540,2361,8391,12100,43,0.36,2,50770,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-09,75394,1346,5617,13421,56,0.42,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-10,68355,1953,8100,8438,35,0.41,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-11,47412,1756,11782,4024,27,0.67,1,47412,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-12,40961,2560,10164,4030,16,0.4,1,40961,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-13,51878,1206,6414,8087,43,0.53,1,51878,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-14,70292,1434,8772,8013,49,0.61,3,23430,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-15,60486,2326,9784,6182,26,0.42,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-16,36307,1650,8650,4197,22,0.52,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-17,47176,2775,12218,3861,17,0.44,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-18,54450,2367,12479,4363,23,0.53,0,0,IDR
K | ABO | 18-01-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-18,1229,0,11704,105,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-19,63382,1980,9286,6825,32,0.47,1,63382,IDR
K | ABO | 18-01-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-19,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-20,129764,1853,5832,22248,70,0.31,1,129764,IDR
K | ABO | 18-01-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-20,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-21,84774,1324,8408,10082,64,0.63,4,21193,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-22,72651,1252,7036,10325,58,0.56,1,72651,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-23,93231,1243,6290,14821,75,0.51,1,93231,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-24,130531,881,5716,22835,148,0.65,2,65265,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-25,137334,1064,5845,23495,129,0.55,2,68667,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-26,220874,1871,10140,21781,118,0.54,3,73624,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-27,194141,2157,10751,18057,90,0.5,7,27734,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-28,171481,1884,7727,22191,91,0.41,4,42870,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-29,205582,2390,11710,17556,86,0.49,1,205582,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-30,133942,1860,7919,16912,72,0.43,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-31,190965,1928,8737,21855,99,0.45,1,190965,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-01,94513,3150,11377,8307,30,0.36,2,47256,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-02,158947,2649,10547,15069,60,0.4,1,158947,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-03,147917,2689,10643,13898,55,0.4,4,36979,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-04,125639,2284,8249,15229,55,0.36,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-05,153715,2401,9699,15847,64,0.4,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-06,14826,1853,9558,1551,8,0.52,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-07,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-08,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-09,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-10,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-11,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-02-15,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-03-06,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-03-10,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-03-25,0,0,0,0,0,0.0,0,0,IDR
